frame,x,y
0,306.67,195.56
1,313.33,191.67
2,320.00,188.33
3,326.67,185.56
4,333.33,183.33
5,340.00,181.67
6,346.67,180.56
7,353.33,180.00
8,360.00,180.00
9,366.67,180.56
10,373.33,181.67
11,380.00,183.33
12,386.67,185.56
13,393.33,188.33
14,400.00,191.67
15,406.67,195.56
16,413.33,200.00
17,420.00,205.00
18,426.67,210.56
19,433.33,216.67
20,438.77,223.00
21,429.67,226.00
22,420.56,229.55
23,411.45,233.66
24,402.35,238.32
25,393.24,243.54
26,384.13,249.31
27,375.03,255.64
28,365.92,262.53
29,356.81,269.97
30,347.71,277.96
31,338.60,286.51
32,329.49,295.62
33,322.05,299.08
34,318.99,286.72
35,315.94,274.91
36,312.88,263.65
37,309.82,252.95
38,306.77,242.81
39,303.71,233.22
40,300.66,224.19
41,297.60,215.71
42,294.55,207.79
43,291.49,200.42
44,288.44,193.61
45,285.38,187.36
46,282.32,181.66
47,279.27,176.52
48,276.21,171.93
49,273.16,167.90
50,270.10,164.42
51,267.05,161.50
52,263.99,159.13
53,260.94,157.32
54,257.88,156.07
55,254.82,155.37
56,251.77,155.23
57,248.71,155.64
58,245.66,156.61
59,242.60,158.13
60,239.55,160.21
61,236.49,162.84
62,233.44,166.03
63,230.38,169.78
64,227.32,174.08
65,224.27,178.93
66,221.21,184.35
67,218.16,190.31
68,215.10,196.84
69,212.05,203.92
70,208.99,211.55
71,205.94,219.74
72,202.88,228.49
73,199.82,237.79
74,196.77,247.64
75,193.71,258.05
76,191.94,264.22
77,194.78,253.75
78,197.62,243.84
79,200.46,234.48
80,203.29,225.67
81,206.13,217.42
82,208.97,209.73
83,211.81,202.60
84,214.65,196.01
85,217.48,189.99
86,220.32,184.52
87,223.16,179.60
88,226.00,175.24
89,228.83,171.44
90,231.67,168.19
91,234.51,165.50
92,237.35,163.36
93,240.18,161.78
94,243.02,160.75
95,245.86,160.28
96,248.70,160.37
97,251.53,161.01
98,254.37,162.21
99,257.21,163.96
100,260.05,166.26
101,262.88,169.13
102,265.72,172.55
103,268.56,176.52
104,271.40,181.05
105,274.24,186.13
106,277.07,191.78
107,279.91,197.97
108,282.75,204.72
109,285.59,212.03
110,288.42,219.89
111,291.26,228.31
112,294.10,237.29
113,296.94,246.82
114,299.77,256.90
115,302.61,267.54
116,305.45,278.74
117,308.29,290.49
118,312.78,296.60
119,321.40,287.92
120,330.01,279.79
121,338.62,272.21
122,347.23,265.20
123,355.84,258.74
124,364.45,252.83
125,373.06,247.48
126,381.67,242.68
127,390.28,238.44
128,398.90,234.76
129,407.51,231.63
130,416.12,229.06
131,424.73,227.04
132,433.34,225.58
133,438.57,223.77
134,431.57,219.23
135,424.56,215.25
136,417.56,211.83
137,410.55,208.96
138,403.55,206.65
139,396.54,204.89
140,389.54,203.69
141,382.54,203.04
142,375.53,202.95
143,368.53,203.42
144,361.52,204.44
145,354.52,206.01
146,347.51,208.15
147,340.51,210.83
148,333.51,214.08
149,326.50,217.87
150,319.50,222.23
151,312.49,227.14
152,305.49,232.60
153,298.49,238.62
154,291.48,245.20
155,284.48,252.33
156,277.47,260.02
157,270.47,268.26
158,263.46,277.06
159,257.69,281.84
160,256.30,270.79
161,254.91,260.30
162,253.52,250.36
163,252.13,240.98
164,250.74,232.16
165,249.35,223.89
166,247.96,216.17
167,246.57,209.01
168,245.19,202.41
169,243.80,196.36
170,242.41,190.87
171,241.02,185.94
172,239.63,181.55
173,238.24,177.73
174,236.85,174.46
175,235.46,171.75
176,234.07,169.59
177,232.69,167.98
178,231.30,166.94
179,229.91,166.45
180,228.52,166.51
181,227.13,167.13
182,225.74,168.30
183,224.35,170.03
184,222.96,172.32
185,221.57,175.16
186,220.19,178.56
187,218.80,182.51
188,217.41,187.02
189,216.02,192.08
190,214.63,197.70
191,213.24,203.88
192,211.85,210.61
193,210.46,217.89
194,209.07,225.73
195,207.69,234.13
196,206.30,243.08
197,204.91,252.59
198,203.52,262.66
199,203.71,267.37
200,207.82,258.04
201,211.93,249.26
202,216.03,241.03
203,220.14,233.37
204,224.25,226.25
205,228.35,219.69
206,232.46,213.69
207,236.57,208.25
208,240.67,203.36
209,244.78,199.02
210,248.89,195.24
211,252.99,192.02
212,257.10,189.35
213,261.21,187.23
214,265.31,185.68
215,269.42,184.67
216,273.53,184.23
217,277.63,184.34
218,281.74,185.00
219,285.85,186.22
220,289.96,188.00
221,294.06,190.33
222,298.17,193.21
223,302.28,196.66
224,306.38,200.65
225,310.49,205.21
226,314.60,210.32
227,318.70,215.98
228,322.81,222.20
229,326.92,228.98
230,331.02,236.31
231,335.13,244.19
232,339.24,252.64
233,343.34,261.64
234,347.45,271.19
235,351.56,281.30
236,355.66,291.96
237,359.77,303.18
238,365.04,310.60
239,374.49,303.01
240,383.93,295.98
241,393.38,289.50
242,402.82,283.58
243,412.27,278.21
244,421.71,273.40
245,426.73,267.96
246,420.68,260.11
247,414.63,252.81
248,408.57,246.07
249,402.52,239.89
250,396.47,234.26
251,390.42,229.18
252,384.37,224.66
253,378.32,220.70
254,372.27,217.29
255,366.22,214.44
256,360.16,212.14
257,354.11,210.40
258,348.06,209.22
259,342.01,208.59
260,335.96,208.51
261,329.91,208.99
262,323.86,210.03
263,317.81,211.62
264,311.75,213.77
265,305.70,216.47
266,299.65,219.73
267,293.60,223.55
268,287.55,227.92
269,281.50,232.84
270,275.45,238.32
271,269.40,244.36
272,263.34,250.95
273,257.29,258.10
274,251.24,265.80
275,245.19,274.06
276,240.64,277.27
277,239.81,267.17
278,238.97,257.62
279,238.14,248.63
280,237.31,240.19
281,236.47,232.31
282,235.64,224.98
283,234.81,218.21
284,233.97,212.00
285,233.14,206.34
286,232.31,201.23
287,231.47,196.69
288,230.64,192.69
289,229.81,189.26
290,228.97,186.37
291,228.14,184.05
292,227.31,182.28
293,226.47,181.06
294,225.64,180.40
295,224.81,180.30
296,223.97,180.75
297,223.14,181.76
298,222.31,183.32
299,221.47,185.44
